record_id,period,recognition_date,fund_product,fund_type,fund_category,aum_size_band,risk_exposure,income_stability_type,fee_type,channel,customer_type,customer_name,share_class,revenue_model,recognized_revenue,business_volume,subscription_amount,redemption_amount,average_aum,performance_base,fee_rate_contract,service_days,cash_collected,invoice_amount,settlement_date,is_new_customer,is_related_party,refund_after_period,performance_hurdle_met
R001,2025-01,2025-01-08,Alpha Growth Equity,Equity,偏股型基金,大规模,高波动,稳定基础收入,management_fee,direct,institutional,North Star AM,A,fund_fee,410958.90,0,0,0,1000000000,0,0.005,30,410958.90,410958.90,2025-01-12,false,false,0,false
R002,2025-02,2025-02-08,Alpha Growth Equity,Equity,偏股型基金,大规模,高波动,稳定基础收入,management_fee,direct,institutional,North Star AM,A,fund_fee,383561.64,0,0,0,1000000000,0,0.005,28,383561.64,383561.64,2025-02-12,false,false,0,false
R003,2025-03,2025-03-08,Alpha Growth Equity,Equity,偏股型基金,大规模,高波动,稳定基础收入,management_fee,direct,institutional,North Star AM,A,fund_fee,424657.53,0,0,0,1000000000,0,0.005,31,424657.53,424657.53,2025-03-12,false,false,0,false
R004,2025-03,2025-03-18,Beta Bond Plus,Bond,债券型基金,中规模,低波动,交易型收入,subscription_fee,bank,retail,Sunrise Retail Pool,A,fund_fee,150000.00,50000000,50000000,0,0,0,0.003,0,150000.00,150000.00,2025-03-20,false,false,0,false
R005,2025-04,2025-04-25,Beta Bond Plus,Bond,债券型基金,中规模,低波动,交易型收入,redemption_fee,bank,retail,Sunrise Retail Pool,A,fund_fee,40000.00,20000000,0,20000000,0,0,0.002,0,40000.00,40000.00,2025-04-26,false,false,0,false
R006,2025-05,2025-05-10,Gamma Money Market,Money Market,货币型基金,大规模,低波动,稳定基础收入,sales_service_fee,online,retail,Online C Class Pool,C,fund_fee,82191.78,0,0,0,500000000,0,0.002,30,82191.78,82191.78,2025-05-15,false,false,0,false
R007,2025-06,2025-06-12,Gamma Money Market,Money Market,货币型基金,大规模,低波动,稳定基础收入,sales_service_fee,online,retail,Online C Class Pool,C,fund_fee,98630.14,0,0,0,600000000,0,0.002,30,98630.14,98630.14,2025-06-15,false,false,0,false
R008,2025-07,2025-07-08,Alpha Growth Equity,Equity,偏股型基金,大规模,高波动,交易型收入,subscription_fee,direct,institutional,Evergreen Treasury,A,fund_fee,300000.00,100000000,100000000,0,0,0,0.003,0,300000.00,300000.00,2025-07-10,false,false,0,false
R009,2025-08,2025-08-08,Alpha Growth Equity,Equity,偏股型基金,大规模,高波动,稳定基础收入,management_fee,direct,institutional,North Star AM,A,fund_fee,465753.42,0,0,0,1100000000,0,0.005,31,465753.42,465753.42,2025-08-12,false,false,0,false
R010,2025-09,2025-09-15,Beta Bond Plus,Bond,债券型基金,中规模,低波动,交易型收入,redemption_fee,bank,retail,Sunrise Retail Pool,A,fund_fee,50000.00,25000000,0,25000000,0,0,0.002,0,50000.00,50000.00,2025-09-18,false,false,0,false
R011,2025-10,2025-10-11,Delta Quant FoF,FOF,FOF基金,小规模,高波动,交易型收入,subscription_fee,online,retail,Online New Investor,A,fund_fee,90000.00,30000000,30000000,0,0,0,0.003,0,90000.00,90000.00,2025-10-13,true,false,0,false
R012,2025-11,2025-11-30,Alpha Growth Equity,Equity,偏股型基金,大规模,高波动,稳定基础收入,management_fee,direct,institutional,North Star AM,A,fund_fee,616438.36,0,0,0,1200000000,0,0.005,30,616438.36,616438.36,2025-12-04,false,false,0,false
R013,2025-12,2025-12-28,Omega Private Fund,Private Equity,私募/专户产品,小规模,高波动,一次性/高不确定性收入,subscription_fee,direct,institutional,New Horizon Capital,A,fund_fee,2100000.00,300000000,300000000,0,0,0,0.003,0,300000.00,2100000.00,2026-01-10,true,false,0,false
R014,2025-12,2025-12-30,Beta Bond Plus,Bond,债券型基金,中规模,低波动,交易型收入,redemption_fee,bank,retail,Sunrise Retail Pool,A,fund_fee,300000.00,50000000,0,50000000,0,0,0.002,0,300000.00,300000.00,2026-01-02,false,false,120000.00,false
R015,2025-12,2025-12-31,Gamma Money Market,Money Market,货币型基金,大规模,低波动,稳定基础收入,sales_service_fee,online,retail,Online C Class Pool,C,fund_fee,220000.00,0,0,0,600000000,0,0.002,31,50000.00,220000.00,2026-01-09,false,false,0,false
R016,2025-12,2025-12-31,Delta Quant FoF,FOF,FOF基金,小规模,高波动,一次性/高不确定性收入,performance_fee,direct,institutional,Evergreen Treasury,A,fund_fee,800000.00,4000000,0,0,0,4000000,0.200,0,0.00,800000.00,2026-01-15,false,false,0,false
R017,2025-12,2025-12-26,Related Alpha Fund,Equity,偏股型基金,中规模,高波动,交易型收入,subscription_fee,direct,related_party,Blue River Holdings,A,fund_fee,600000.00,100000000,100000000,0,0,0,0.003,0,600000.00,600000.00,2025-12-29,false,true,0,false
R018,2026-01,2026-01-03,Alpha Growth Equity,Equity,偏股型基金,大规模,高波动,稳定基础收入,management_fee,direct,institutional,North Star AM,A,fund_fee,424657.53,0,0,0,1000000000,0,0.005,31,424657.53,424657.53,2026-01-08,false,false,0,false
R019,2026-01,2026-01-06,Omega Private Fund,Private Equity,私募/专户产品,小规模,高波动,一次性/高不确定性收入,subscription_fee,direct,institutional,New Horizon Capital,A,fund_fee,-120000.00,-40000000,-40000000,0,0,0,0.003,0,-120000.00,-120000.00,2026-01-07,true,false,120000.00,false
R020,2025-12,2025-12-29,Sigma Enhanced Bond,Bond,债券型基金,小规模,低波动,稳定基础收入,management_fee,bank,institutional,City Bank Custody,A,fund_fee,500000.00,0,0,0,0,0,0.005,31,500000.00,500000.00,2025-12-31,false,false,0,false
